QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,QLD,171,Burleigh Heads (McPherson),747,46.57,857,53.43,1604,97.98,33,2.02,1637
1,QLD,172,Burleigh Heads (Moncrieff),111,45.31,134,54.69,245,98.79,3,1.21,248
1,QLD,171,Burleigh Heads MCPHERSON PPVC,4525,30.75,10190,69.25,14715,98.84,172,1.16,14887
1,QLD,172,Burleigh Heads MONCRIEFF PPVC,1415,32.19,2981,67.81,4396,98.9,49,1.1,4445
1,QLD,171,Burleigh North (McPherson),117,38.36,188,61.64,305,98.39,5,1.61,310
1,QLD,172,Burleigh North (Moncrieff),99,45.21,120,54.79,219,98.21,4,1.79,223
1,QLD,171,Burleigh Waters,872,42.41,1184,57.59,2056,98.56,30,1.44,2086
1,QLD,166,Burnett Heads,214,21.42,785,78.58,999,99.3,7,0.7,1006
1,QLD,160,Burnside,504,35.22,927,64.78,1431,98.96,15,1.04,1446
1,QLD,302,Burpengary,245,24.7,747,75.3,992,99,10,1,1002
1,QLD,302,Burpengary East (Longman),208,28.3,527,71.7,735,99.06,7,0.94,742
1,QLD,175,Burpengary East (Petrie),155,28.08,397,71.92,552,99.28,4,0.72,556
1,QLD,302,Burpengary LONGMAN PPVC,1872,21.78,6725,78.22,8597,99.41,51,0.59,8648
1,QLD,302,Burpengary Meadows,463,26.32,1296,73.68,1759,98.99,18,1.01,1777
1,QLD,175,Burpengary PETRIE PPVC,261,20.85,991,79.15,1252,99.6,5,0.4,1257
1,QLD,302,Burpengary South,287,28.08,735,71.92,1022,97.99,21,2.01,1043
1,QLD,302,Burpengary West,464,28.09,1188,71.91,1652,98.8,20,1.2,1672
1,QLD,176,Burrowes,868,39.19,1347,60.81,2215,98.14,42,1.86,2257
1,QLD,166,Burrum Heads,164,14.11,998,85.89,1162,99.57,5,0.43,1167
1,QLD,302,Caboolture,434,31.68,936,68.32,1370,98.7,18,1.3,1388
1,QLD,302,Caboolture East,462,31.39,1010,68.61,1472,98.79,18,1.21,1490
1,QLD,302,Caboolture North,492,25.81,1414,74.19,1906,98.25,34,1.75,1940
1,QLD,302,Caboolture PPVC,1960,22.45,6769,77.55,8729,99.27,64,0.73,8793
1,QLD,302,Caboolture West,367,23.02,1227,76.98,1594,98.4,26,1.6,1620
1,QLD,167,Cairns CBD KENNEDY PPVC,232,29.11,565,70.89,797,98.52,12,1.48,809
1,QLD,168,Cairns CBD LEICHHARDT PPVC,2880,34.67,5427,65.33,8307,99.4,50,0.6,8357
1,QLD,168,Cairns City,576,46.08,674,53.92,1250,99.05,12,0.95,1262
1,QLD,167,Cairns KENNEDY PPVC,127,26.79,347,73.21,474,99.37,3,0.63,477
1,QLD,168,Cairns LEICHHARDT PPVC,2735,31.05,6073,68.95,8808,99.26,66,0.74,8874
1,QLD,167,Cairns South KENNEDY PPVC,1693,19.31,7075,80.69,8768,99.47,47,0.53,8815
1,QLD,168,Cairns South LEICHHARDT PPVC,1602,21.15,5974,78.85,7576,99.44,43,0.56,7619
1,QLD,168,Cairns West,554,46.63,634,53.37,1188,99,12,1,1200
1,QLD,176,Calamvale,925,44.39,1159,55.61,2084,99.29,15,0.71,2099
1,QLD,176,Calamvale East,545,45.99,640,54.01,1185,99.33,8,0.67,1193
1,QLD,158,Calen,58,12.29,414,87.71,472,99.79,1,0.21,473
1,QLD,311,Calliope,261,15.48,1425,84.52,1686,98.54,25,1.46,1711
1,QLD,161,Caloundra,749,38.23,1210,61.77,1959,98.49,30,1.51,1989
1,QLD,161,Caloundra East PPVC,4507,27,12187,73,16694,99.09,153,0.91,16847
1,QLD,161,Caloundra West,394,31.49,857,68.51,1251,98.89,14,1.11,1265
1,QLD,161,Caloundra West PPVC,1341,28.96,3290,71.04,4631,98.87,53,1.13,4684
1,QLD,164,Cambooya,137,15.66,738,84.34,875,99.09,8,0.91,883
1,QLD,174,Camira,663,33.07,1342,66.93,2005,98.57,29,1.43,2034
1,QLD,163,Camp Hill,1197,57.05,901,42.95,2098,98.78,26,1.22,2124
1,QLD,163,Cannon Hill,1103,57.15,827,42.85,1930,99.08,18,0.92,1948
1,QLD,163,Cannon Hill Central,432,57.75,316,42.25,748,99.2,6,0.8,754
1,QLD,158,Cannonvale,392,32.48,815,67.52,1207,98.85,14,1.15,1221
